psychotherapy	paɪʧoʊθəreɪpaɪ	<ˌsaɪkoʊˈθɛrəpi>
polygon	pɑljaɪgɑn	<ˈpɑlɪˌgɑn>
impersonal	ɪmpərsɑnæl	<ˌɪmˈpərsənəl>
autoclave	oʊtoʊkleɪv	<ˈɔtoʊˌkleɪv>
from	frɑm	<frəm>
reset	risɛt	<ˈrisɛt>
colon	koʊlɑn	<ˈkoʊlən>
smithers	smɪθərs	<sˈmɪðərz>
plains	pleɪnz	<pleɪnz>
meaning	minɪŋ	<ˈminɪŋ>
fries	friz	<fraɪz>
ins	ɪns	<ˈaɪˈɛˈnɛs>
salaried	sæleɪrid	<ˈsælərid>
surveillance	sərvillæns	<sərˈveɪləns>
worried	wərrid	<ˈwərid>
engrave	ɛngreɪv	<ɪnˈgreɪv>
pixel	pɪksɛl	<ˈpɪksəl>
commissioner	kɑmmɪssɪnər	<kəˈmɪʃənər>
elastic	ilæstɪk	<ɪˈlæstɪk>
nationality	nɑtaɪnælaɪtaɪ	<ˌnæʃəˈnælɪti>
restrictive	ristrɪktaɪv	<riˈstrɪktɪv>
phrase	freɪz	<freɪz>
merida	mɛraɪdɑ	<mərˈidə>
totem	toʊtɛm	<ˈtoʊtəm>
aggressively	æggrɛssaɪvlaɪ	<əˈgrɛsɪvli>
blur	blər	<blər>
winter	wɪntər	<ˈwɪntər>
stabilization	stɑbaɪlaɪzɑtaɪn	<ˌsteɪbələˈzeɪʃən>
disintegration	dɪsɪntigrætaɪn	<dɪˌsɪnəˈgreɪʃən>
insolvent	ɪnsɑlvɛnt	<ˌɪnˈsɑlvənt>
definitively	difɪnaɪtaɪvlaɪ	<dɪˈfɪnɪtɪvli>
tube	tub	<tub>
yearn	jərn	<jərn>
crass	kræs	<kræs>
metabolic	mɛteɪbɑlɪk	<ˌmɛtəˈbɑlɪk>
arrive	ɑrraɪv	<əraɪv>
decadent	dɛkeɪdɛnt	<ˈdɛkədənt>
inoculation	ɪnɑkulɑtaɪn	<ˌɪˌnɑkjəˈleɪʃən>
abba	æbbɑ	<ˈæbə>
curiously	kuraɪaʊzlaɪ	<ˈkjʊriəsli>
jackpot	ʤækpɑt	<ˈʤækˌpɑt>
ruckus	rəkəs	<ˈrəkəs>
springboard	spɪŋbɔrd	<ˈsprɪŋˌbɔrd>
pretentious	pritɛntaʊz	<priˈtɛnʃəs>
reverend	rɛvərɛnd	<ˈrɛvərənd>
thickness	θɪknɛs	<ˈθɪknəs>
glove	gloʊv	<gləv>
lactation	læktɑtaɪn	<lækˈteɪʃən>
proprietor	proʊpraɪitɔr	<prəˈpraɪətər>
smelly	smɛljaɪ	<sˈmɛli>
profane	proʊfeɪn	<proʊˈfeɪn>
aphrodisiac	æfroʊdɪsaɪæk	<ˌæfroʊˈdiziæk>
arraignment	ɑrreɪnmɛnt	<ərˈeɪnmənt>
wizardry	wɪzɑrdraɪ	<ˈwɪzərdri>
proportioned	proʊpɔrtaɪnd	<prəˈpɔrʃənd>
naturally	næturællaɪ	<ˈnæʧərəli>
scholar	skɑlɑr	<ˈskɑlər>
swig	sɪg	<swɪg>
rediscover	ridɪskɑvər	<ridɪˈskəvər>
banner	bænnɛr	<ˈbænər>
avian	eɪviæn	<ˈeɪviən>
anabolic	æneɪbɑlɪk	<ˌænəˈbɑlɪk>
vodka	vɑdkɑ	<ˈvɑdkə>
reclassification	riklæssifaɪkɑtaɪn	<riˌklæsəfəˈkeɪʃən>
rut	rut	<rət>
complainant	kɑmpleɪnænt	<kəmˈpleɪnənt>
asserted	æssərtɛd	<əˈsərtəd>
roomy	rumjaɪ	<ˈrumi>
harrow	hɑrroʊ	<ˈhæroʊ>
completeness	kɑmplitnɛs	<kəmˈplitnəs>
postcard	pɑstkɑrd	<ˈpoʊˌskɑrd>
extended	ɛkstɛndɛd	<ɪkˈstɛndɪd>
choking	ʧɑkɪŋ	<ˈʧoʊkɪŋ>
climate	klaɪmeɪt	<ˈklaɪmɪt>
sitter	sɪttər	<ˈsɪtər>
gallery	gællərjaɪ	<ˈgæləri>
antifungal	æntifəngæl	<ˌænˌtiˈfəŋgəl>
shun	ʃən	<ʃən>
designated	dɛsɪgnætɛd	<ˈdɛzɪgˌneɪtɪd>
accelerating	æksɛlərætɪŋ	<ækˈsɛlərˌeɪtɪŋ>
poss	pɑs	<pɔs>
religiously	rilaɪgaʊzlaɪ	<rɪˈlɪʤəsli>
broth	broʊθ	<brɔθ>
moulin	mulɪn	<muˈlæn>
libido	laɪbaɪdoʊ	<ləˈbaɪˌdoʊ>
cruising	kruzɪŋ	<ˈkruzɪŋ>
serial	siraɪæl	<ˈsɪˌriəl>
stability	stɑbɪlaɪtaɪ	<stəˈbɪlɪti>
elucidate	ilukideɪt	<ɪˈlusəˌdeɪt>
recordable	rikɔrdeɪbli	<rɪˈkɔrdəbəl>
mucus	mukəs	<mˈjukəs>
pippin	pɪppɪn	<ˈpɪpɪn>
per	pər	<pər>
overlapping	oʊvərlæppɪŋ	<ˈoʊvərˌlæpɪŋ>
inspire	ɪnspaɪr	<ˌɪnˈspaɪr>
yoga	jɑgɑ	<ˈjoʊgə>
parenthood	pɑrɛnthʊd	<ˈpɛrənˌthʊd>
desired	disaɪrd	<dɪˈzaɪərd>
retrospect	rɛtroʊspɛkt	<ˈrɛtrəˌspɛkt>
restored	ristɔrd	<rɪˈstɔrd>
precisely	prisaɪzlaɪ	<prɪˈsaɪsli>
skillfully	skɪlfəllaɪ	<ˈskɪlfəli>
keno	kinoʊ	<ˈkinoʊ>
midway	mɪdweɪ	<ˈmɪdˌweɪ>
renin	rinɪn	<ˈrinən>
resuscitation	risəskitɑtaɪn	<rɪˌsəsɪˈteɪʃən>
feathers	fiθərs	<ˈfɛðərz>
weathered	wiθɛrd	<ˈwɛðərd>
division	daɪvisɪn	<dɪˈvɪʒən>
appealing	æppilɪŋ	<əˈpilɪŋ>
throughput	θrəfpʊt	<θˈruˌpʊt>
obscurity	ɑbskuraɪtaɪ	<əbˈskjʊrəti>
constellation	kɑnstɛllɑtaɪn	<ˌkɑnstəˈleɪʃən>
profiled	proʊfaɪld	<ˈproʊˌfaɪld>
scripture	skrɪptʊr	<ˈskrɪpʧər>
retailer	riteɪlər	<ˈriˌteɪlər>
grains	greɪnz	<greɪnz>
greasy	grizjaɪ	<ˈgrisi>
encephalitis	ɛnʧɛfeɪlaɪtɪs	<ɛnˌsɛfəˈlaɪtəs>
quandary	kwɑndɑraɪ	<kˈwɑndəri>
astute	æstut	<əˈstut>
control	kɑntrɑl	<kənˈtroʊl>
developer	divɛlɑpər	<dɪˈvɛləpər>
repurchase	ripərʧeɪz	<riˈpərʧəs>
principled	prɪnkiplɛd	<ˈprɪnsəpəld>
return	ritərn	<rɪˈtərn>
crazed	kreɪzd	<kreɪzd>
parallax	pɑrællæks	<ˈpɛrəˌlæks>
appreciable	æpprikieɪbli	<əˈpriʃəbəl>
leviathan	livieɪθɑn	<lɛˈvaɪəθən>
decomposed	dikɑmpoʊzd	<ˌdikəmˈpoʊzd>
disclaim	dɪskleɪm	<dɪˈskleɪm>
persevere	pərsivɪr	<pərsəˈvɪr>
recruitment	rikrutmɛnt	<rɪˈkrutmənt>
platform	plætfɔrm	<ˈplætˌfɔrm>
consistently	kɑnsɪstɛntlaɪ	<kənˈsɪstəntli>
arm	ɑrm	<ɑrm>
blender	blɛndər	<ˈblɛndər>
outlier	aʊtlaɪər	<ˈaʊtlaɪər>
mutt	mət	<mət>
molly	mɑllaɪ	<ˈmɑli>
fishing	fɪʃɪŋ	<ˈfɪʃɪŋ>
rhododendron	roʊdoʊdɛndrɑn	<ˌroʊdəˈdɛndrən>
deliverance	dilɪvəræns	<dɪˈlɪvərəns>
vanguard	vængɑrd	<ˈvænˌgɑrd>
caseload	keɪzloʊd	<ˈkeɪsˌloʊd>
feeder	fidər	<ˈfidər>
hope	hoʊp	<hoʊp>
occasions	ɑkkɑsaɪnz	<ɔˈkeɪʒənz>
indulgent	ɪndəlʤɛnt	<ˌɪnˈdəlʤənt>
lexical	lɛksaɪkæl	<ˈlɛksɪkəl>
peculiarly	pikulɪrlaɪ	<pɪˈkjuljərli>
exam	ɛksæm	<ɪgˈzæm>
enhancer	ɛnhænkər	<ɛnˈhænsər>
iman	aɪmæn	<ˈaɪmən>
wretched	rɛʧɛd	<ˈrɛʧɪd>
diabetic	daɪeɪbɛtɪk	<ˌdaɪəˈbɛtɪk>
gosh	gɑʃ	<gɑʃ>
please	pliz	<pliz>
extremism	ɛkstrɛmɪs	<ˌɪkˈstrɛmɪzəm>
feature	fitʊr	<ˈfiʧər>
forbidding	fɔrbɪddɪŋ	<fərˈbɪdɪŋ>
blinks	blɪŋks	<blɪŋks>
der	dər	<dər>
biological	baɪoʊlɑgaɪkæl	<ˌbaɪəˈlɑʤɪkəl>
surat	suræt	<sərɑt>
renaissance	rineɪzsæns	<ˌrɛnəˈsɑns>
segregated	sɛgrigætɛd	<ˈsɛgrəˌgeɪtɪd>
graft	græft	<græft>
journalism	ʤʊrnælɪs	<ˈʤərnəˌlɪzəm>
seventeenth	sɛvɛntinθ	<ˈsɛvənˈtinθ>
cardiovascular	kɑrdaɪoʊvæskulɑr	<ˌkɑrdioʊˈvæskjələr>
countryman	kaʊntraɪmæn	<ˈkəntrimən>
interwoven	ɪntərwoʊvɛn	<ˌɪntərˈwoʊvən>
prevent	privɛnt	<prɪˈvɛnt>
crockery	krɑkərjaɪ	<ˈkrɑkəri>
pissing	pɪsɪŋ	<ˈpɪˌsɪŋ>
rusty	rəstjaɪ	<ˈrəsti>
tropical	trɑpaɪkæl	<ˈtrɑpɪkəl>
consul	kɑnsəl	<ˈkɑnsəl>
stemming	stɛmmɪŋ	<ˈstɛmɪŋ>
bookseller	bʊksɛllər	<ˈbʊkˌsɛlər>
och	ɑʧ	<ɑk>
proviso	proʊvisoʊ	<prəˈvaɪzoʊ>
nuisance	nusæns	<ˈnusəns>
daughter	dɔftər	<ˈdɔtər>
scat	skæt	<skæt>
castor	kæstɔr	<ˈkæstər>
clipping	klɪppɪŋ	<ˈklɪpɪŋ>
torque	tɔrk	<tɔrk>
landscaped	lændskeɪpt	<ˈlændˌskeɪpt>
organized	ərgænaɪzd	<ˈɔrgəˌnaɪzd>
sucre	sukri	<ˈsukər>
des	dɛs	<dɪ>
retroactive	rɛtroʊæktaɪv	<ˌrɛtroʊˈæktɪv>
utilization	utilaɪzɑtaɪn	<ˌjutələˈzeɪʃən>
spinal	spaɪnæl	<ˈspaɪnəl>
heinous	heɪnuz	<ˈheɪnəs>
excavator	ɛkskɑvɑtɔr	<ˈɛkskəˌveɪtər>
fuzzy	fəzjaɪ	<ˈfəzi>
clarinet	klɑraɪnɛt	<ˌklɛrəˈnɛt>
formal	fɔrmæl	<ˈfɔrməl>
ventilation	vɛntilɑtaɪn	<ˌvɛntɪˈleɪʃən>
newsworthy	nuzwərðaɪ	<ˈnuzˌwərði>
inertia	ɪnərtaɪ	<ˌɪˈnərʃə>
presidency	prɛzaɪdɛnkaɪ	<ˈprɛzɪdənsi>
irrigated	ərraɪgætɛd	<ˈɪrəˌgeɪtɪd>
locomotive	loʊkoʊmoʊtaɪv	<ˌloʊkəˈmoʊtɪv>
speechless	spiʧlɛs	<ˈspiʧləs>
making	mækɪŋ	<ˈmeɪkɪŋ>
proton	proʊtɑn	<ˈproʊˌtɑn>
multitude	məltitud	<ˈməltəˌtud>
implicit	ɪmplɪkɪt	<ˌɪmˈplɪsət>
punter	pəntər	<ˈpəntər>
esker	ɛskər	<ˈɛskər>
geyser	geɪsər	<ˈgaɪzər>
literature	lɪtəreɪtʊr	<ˈlɪtərəʧər>
binoculars	bɪnɑkulɑrz	<bəˈnɑkjələrz>
inefficiency	ɪnɛffaɪsinkaɪ	<ˌɪnɪˈfɪʃənsi>
refrigeration	rifrɪgəreɪtaɪn	<rɪˌfrɪʤərˈeɪʃən>
reggae	rɛggeɪ	<ˈrɛˌgeɪ>
gratefully	greɪtfəllaɪ	<ˈgreɪtfəli>
rectangle	rɛktængli	<ˈrɛktæŋgəl>
swear	swɪr	<swɛr>
hasty	hæstjaɪ	<ˈheɪsti>
swallow	swɑlloʊ	<sˈwɔloʊ>
mambo	mæmboʊ	<ˈmɑmboʊ>
tabulated	tæbulætɛd	<ˈtæbjəˌleɪtɪd>
marc	mɑrk	<mɑrk>
fifty	fɪftaɪ	<ˈfɪfti>
beggar	bɛggɑr	<ˈbɛgər>
scallop	skællɑp	<ˈskæləp>
forte	fɔrt	<ˈfɔrteɪ>
winery	wɪnərjaɪ	<ˈwaɪnəri>
cocker	kɑkər	<ˈkɑkər>
device	divaɪs	<dɪˈvaɪs>
entertaining	ɛntərteɪnɪŋ	<ˌɛnərˈteɪnɪŋ>
wan	wɑn	<wɑn>
horizontal	həraɪzɑntæl	<ˌhɔrəˈzɑntəl>
tong	tɑŋ	<tɔŋ>
intensify	ɪntɛnsifaɪ	<ˌɪnˈtɛnsɪˌfaɪ>
steal	stil	<stil>
passable	pæseɪbli	<ˈpæsəbəl>
below	biloʊ	<bɪˈloʊ>
ensured	ɛnsjʊrd	<ɪnˈʃʊrd>
dropper	drɑppər	<ˈdrɑpər>
deputy	dɛputaɪ	<ˈdɛpjəti>
hight	haɪt	<haɪt>
ravel	rævɛl	<ˈrævəl>
protecting	proʊtɛktɪŋ	<prəˈtɛktɪŋ>
respect	rispɛkt	<rɪˈspɛkt>
lute	lut	<lut>
triplex	traɪplɛks	<trɪˈplɛks>
examine	ɛksæmaɪn	<ɪgˈzæmɪn>
dome	doʊm	<doʊm>
graduated	græduætɛd	<ˈgræʤəˌweɪtɪd>
gondola	gɑndoʊlɑ	<ˈgɑndələ>
faceted	fækɛtɛd	<ˈfæsətɪd>
benign	binɪŋ	<bɪˈnaɪn>
normalized	nɔrmælaɪzd	<ˈnɔrməˌlaɪzd>
declaration	dɛklɑrɑtaɪn	<ˌdɛklərˈeɪʃən>
watchdog	wɑʧdɑg	<ˈwɑʧˌdɔg>
forestry	fɔrɛstraɪ	<ˈfɔrəstri>
mineralogy	mɪnəræloʊgaɪ	<ˌmɪnərˈɑləʤi>
epidermis	ɛpaɪdərmɪs	<ˌɛpɪˈdərməs>
syntax	sɪntæks	<ˈsɪnˌtæks>
needs	nidz	<nidz>
printer	prɪntər	<ˈprɪnər>
crush	krəʃ	<krəʃ>
bulletin	bəllitɪn	<ˈbʊlɪtən>
reseller	risɛlər	<riˈsɛlər>
dissection	dɪssɛktaɪn	<ˈdaɪsɛkʃən>
gradation	grædɑtaɪn	<greɪˈdeɪʃən>
expectant	ɛkspɛktænt	<ɪkˈspɛktənt>
blouse	blaʊs	<blaʊs>
vegetarianism	vɛgitɑraɪænɪs	<ˌvɛʤəˈtɛˌriəˌnɪzəm>
passing	pæsɪŋ	<ˈpæsɪŋ>
mobilize	moʊbaɪlaɪz	<ˈmoʊbəˌlaɪz>
alternative	æltərnɑtaɪv	<ɔlˈtərnətɪv>
history	hɪstoʊraɪ	<ˈhɪstəri>
discriminatory	dɪskrɪmaɪnɑtoʊraɪ	<dɪˈskrɪmənəˌtɔri>
owing	oʊɪŋ	<oʊɪŋ>
mosque	mɑsk	<mɔsk>
instinctively	ɪnstɪntaɪvlaɪ	<ˌɪnˈstɪŋktɪvˌli>
dealership	dilərʃɪp	<ˈdilərˌʃɪp>
colleen	kɑllin	<ˌkɑˈlin>
cot	kɑt	<kɑt>
auditorium	oʊdaɪtoʊraɪəm	<ˌɔdəˈtɔriəm>
larkspur	lɑrkspər	<ˈlɑrkˌspər>
maniac	mɑniæk	<ˈmeɪniˌæk>
carburetor	kɑrburitɔr	<ˈkɑrbərˌeɪtər>
suicidal	suaɪsɪdæl	<ˌsuəˈsaɪdəl>
illuminate	ɪllumineɪt	<ˌɪˈlumɪnɪt>
carmel	kɑrmɛl	<ˈkɑrməl>
kang	kæŋ	<kɑŋ>
inset	ɪnsɛt	<ˈɪnˌsɛt>
shalt	ʃælt	<ʃælt>
entirety	ɛntaɪərtaɪ	<ɪnˈtaɪərti>
nostalgia	nɑstælgaɪ	<nɔˈstælʤə>
deterministic	ditərmɪnɪstɪk	<dɪˌtərməˈnɪstɪk>
rug	rəg	<rəg>
deleterious	dɛlitiraɪaʊz	<ˌdɛləˈtɪriəs>
lucifer	lukifər	<ˈlusəfər>
grandpa	grændpɑ	<ˈgrændˌpɑ>
myself	maɪsɛlf	<ˌmaɪˈsɛlf>
nevermore	nɛvərmɔr	<ˈnɛvərˌmɔr>
instruct	ɪnstərst	<ˌɪnˈstrəkt>
essence	ɛssɛns	<ˈɛsəns>
fiancee	faɪænsi	<fiˈænsi>
follicle	fɑllaɪkli	<ˈfɑlɪkəl>
fairies	fɛraɪz	<ˈfɛriz>
bach	bæʧ	<bɑk>
anger	ængər	<ˈæŋgər>
fission	fɪssɪn	<ˈfɪʃən>
homework	hoʊmwərk	<ˈhoʊmˌwərk>
glassware	glæswɛr	<ˈglæsˌwɛr>
intonation	ɪntoʊnɑtaɪn	<ˌɪntəˈneɪʃən>
aide	eɪd	<eɪd>
legislation	lɛgɪslɑtaɪn	<ˌlɛʤəsˈleɪʃən>
zest	zɛst	<zɛst>
disaster	dɪsæstər	<dɪˈzæstər>
trampoline	træmpoʊlaɪn	<ˌtræmpəˈlin>
boardwalk	bɔrdwɔk	<ˈbɔrdˌwɔk>
shrug	ʃrəg	<ʃrəg>
each	iʧ	<iʧ>
blurry	blərraɪ	<ˈbləri>
underwater	əndərwɑtər	<ˈəndərˌwɔtər>
regardless	rigɑrdlɛs	<rəˈgɑrdləs>
mezzo	mɛzzoʊ	<ˈmɛzoʊ>
mode	moʊd	<moʊd>
pansy	pænsaɪ	<ˈpænzi>
caving	kævɪŋ	<ˈkeɪvɪŋ>
gourmet	gaʊrmɛt	<ˈgʊrˌmeɪ>
contribute	kɑntrɪbjut	<kənˈtrɪbjut>
dole	doʊl	<doʊl>
sterilized	stɛraɪlaɪzd	<ˈstɛrəˌlaɪzd>
engaged	ɛngeɪʤd	<ɪnˈgeɪʤd>
completion	kɑmplitaɪn	<kəmˈpliʃən>
revenge	rivɛnʤ	<riˈvɛnʤ>
heretofore	hɛrtoʊfɔr	<ˌhɪrtəˈfɔr>
abnormal	æbnɔrmæl	<æbˈnɔrməl>
conservator	kɑnsərvɑtɔr	<kənˈsərvətər>
tony	tɑnjaɪ	<ˈtoʊni>
distraction	dɪstræktaɪn	<dɪˈstrækʃən>
catch	kæʧ	<kæʧ>
sampling	sæmpɪŋ	<ˈsæmplɪŋ>
unverified	ənvəraɪfaɪd	<ənˈvɛrɪˌfaɪd>
exec	ɛks	<ˌɛgˈzɛk>
fill	fɪl	<fɪl>
clump	kləmp	<kləmp>
germanic	gərmænɪk	<ʤərˈmænɪk>
coastline	koʊstlaɪn	<ˈkoʊˌstlaɪn>
adaptive	eɪdæptaɪv	<əˈdæptɪv>
berry	bərraɪ	<ˈbɛri>
decorated	dɛkoʊrætɛd	<ˈdɛkərˌeɪtɪd>
manipulate	mɑnɪpuleɪt	<məˈnɪpjəˌleɪt>
don	dɑn	<dɑn>
messier	mɛsaɪər	<ˈmɛsiər>
telephony	tilɛfoʊnaɪ	<ˈtɛləˌfoʊni>
arouse	eɪraʊz	<əraʊz>
appendixes	æppɛndɪksɛs	<əˈpɛndɪksɪz>
sep	sɛp	<ˈɛˈsiˈpi>
clothes	kloʊð	<kloʊðz>
diversion	daɪvərsɪn	<dɪˈvərʒən>
certification	kərtifaɪkɑtaɪn	<ˌsərtəfəˈkeɪʃən>
infancy	ɪnfænkaɪ	<ˈɪnfənsi>
footing	futɪŋ	<ˈfʊtɪŋ>
reorganization	riərgænaɪzɑtaɪn	<ˌriɔrgənəˈzeɪʃən>
citation	kitɑtaɪn	<saɪˈteɪʃən>
amply	æmplaɪ	<ˈæmpli>
jai	ʤeɪ	<ʤaɪ>
stifle	staɪfli	<ˈstaɪfəl>
desolation	dɛsoʊlɑtaɪn	<ˌdɛsəˈleɪʃən>
peeling	pilɪŋ	<ˈpilɪŋ>
breweries	bruəraɪz	<ˈbruəriz>
paradise	pɑreɪdaɪz	<ˈpɛrəˌdaɪs>
lousy	laʊzjaɪ	<ˈlaʊzi>
invertebrate	ɪnvərtibreɪt	<ˌɪnˈvərtəˌbreɪt>
provincial	proʊvɪnkil	<prəˈvɪnʃəl>
midwifery	mɪdwaɪfraɪ	<ˈmɪdˌwaɪfəri>
inhale	ɪnheɪl	<ˌɪnˈheɪl>
emulated	ɛmulætɛd	<ˈɛmjəˌleɪtɪd>
recurrence	rikərrɛns	<rɪˈkərəns>
hostility	hɑstɪlaɪtaɪ	<hɑˈstɪləti>
flatness	flætnɛs	<ˈflætnəs>
collide	kɑllaɪd	<kəˈlaɪd>
protest	proʊtɛst	<ˈproʊˌtɛst>
tufted	təftɛd	<ˈtəftɪd>
rudimentary	rudaɪmɛntɑraɪ	<ˌrudəˈmɛntəri>
put	pʊt	<pʊt>
quantitatively	kwɑntitɑtaɪvlaɪ	<kˌwɑntɪˈteɪtəvli>
laden	lædɛn	<ˈleɪdən>
perspective	pərspɛktaɪv	<pərˈspɛktɪv>
unqualified	ənkwɑlaɪfaɪd	<ənkˈwɑlɪˌfaɪd>
dimmer	dɪmmɛr	<ˈdɪmər>
medico	mɛdaɪkoʊ	<ˈmɛdɪˌkoʊ>
montes	mɑntɛs	<ˈmɑntɛz>
surprising	sərprɪsɪŋ	<səˈpraɪzɪŋ>
wilder	wɪldər	<ˈwaɪldər>
succinct	səksɪnt	<səkˈsɪŋkt>
expenditure	ɛkspɛndaɪtʊr	<ɪkˈspɛndɪʧər>
piety	paɪitaɪ	<ˈpaɪəti>
give	gɪv	<gɪv>
con	kɑn	<kɑn>
beastie	bistaɪ	<ˈbisti>
serialize	siraɪælaɪz	<ˈsɪˌriəˌlaɪz>
industrial	ɪndəstraɪæl	<ˌɪnˈdəstriəl>
suds	sədz	<sədz>
morphine	mɔrfaɪn	<ˈmɔrfin>
bankroll	bæŋkroʊl	<ˈbæŋˌkroʊl>
flags	flægz	<flægz>
geek	ʤik	<gik>
pool	pul	<pul>
sym	sɪm	<sɪm>
catcher	kæʧər	<ˈkæˌʧər>
arcana	ɑrkɑnɑ	<ɑrˈkænə>
balboa	bælboʊeɪ	<bɑlˈboʊə>
jojoba	ʤoʊʤoʊbɑ	<hoʊˈhoʊbə>
undergo	əndərgoʊ	<ˌəndərˈgoʊ>
poser	pɑsər	<ˈpoʊzər>
puppet	pʊppɛt	<ˈpəpɪt>
bison	baɪsɑn	<ˈbaɪsən>
state	steɪt	<steɪt>
invocation	ɪnvoʊkɑtaɪn	<ˌɪnvəˈkeɪʃən>
manly	mænlaɪ	<ˈmænli>
ammonium	æmmoʊniəm	<əˈmoʊniəm>
hyacinth	haɪeɪnɪnθ	<ˈhaɪəˌsɪnθ>
civic	kɪvɪk	<ˈsɪvɪk>
contingency	kɑntɪnʤɛnkaɪ	<kənˈtɪnʤənsi>
guild	gɪld	<gɪld>
unequivocally	ənikwɪvoʊkællaɪ	<ˌənikˈwɪvəkəli>
cherish	ʧɛrɪʃ	<ˈʧɛrɪʃ>
filip	fɪlɪp	<ˈfɪlɪp>
freeway	friweɪ	<ˈfriˌweɪ>
scratchy	skræʧjaɪ	<ˈskræʧi>
compressed	kɑmprɛst	<kəmˈprɛst>
carbohydrate	kɑrboʊhaɪdreɪt	<ˌkɑrboʊˈhaɪˌdreɪt>
quill	kwɪl	<kwɪl>
synoptic	sɪnɑptɪk	<sɪˈnɑptɪk>
dentist	dɛntɪst	<ˈdɛntɪst>
pedagogy	pɛdeɪgoʊgaɪ	<ˈpɛdəˌgoʊʤi>
hover	hɑvər	<ˈhəvər>
chassis	ʧɑzsɪs	<ˈʧæsi>
alpaca	ælpækeɪ	<ælˈpækə>
choreography	ʧoʊriɑgrɑfaɪ	<ˌkɔriˈɑgrəfi>
denied	dinid	<dɪˈnaɪd>
cynic	kɪnɪk	<ˈsɪnɪk>
lead	lid	<lɛd>
rigid	rɪgɪd	<ˈrɪʤɪd>
northerly	nɔrθərlaɪ	<ˈnɔrðərli>
between	bitwin	<bɪtˈwin>
assume	æssum	<əˈsum>
satisfy	sætɪsfaɪ	<ˈsætɪsˌfaɪ>
welt	wɛlt	<wɛlt>
yardstick	jɑrdstɪk	<ˈjɑrdˌstɪk>
bye	baɪ	<baɪ>
secretarial	sɛkritɑraɪæl	<ˌsɛkrəˈtɛriəl>
fart	fɑrt	<fɑrt>
roost	rust	<rust>
pickwick	pɪkwɪk	<ˈpɪkˌwɪk>
mahatma	mɑhætmɑ	<məˈhɑtmə>
tennis	tɛnnɪs	<ˈtɛnɪs>
predicament	pridɪkeɪmɛnt	<prɪˈdɪkəmənt>
stokes	stoʊks	<stoʊks>
usher	əʃər	<ˈəʃər>
continuation	kɑntɪnueɪtaɪn	<kənˌtɪnjuˈeɪʃən>
ritter	rɪttər	<ˈrɪtər>
pain	peɪn	<peɪn>
distant	dɪstænt	<ˈdɪstənt>
centurion	sɛnturaɪɑn	<sɛnˈtʊriən>
defence	difɛns	<dɪˈfɛns>
shutter	ʃuttər	<ˈʃətər>
eel	il	<il>
indistinguishable	ɪndɪstɪngɪʃeɪbli	<ˌɪndɪˈstɪŋgwɪʃəbəl>
anticipated	æntɪkaɪpætɛd	<ænˈtɪsəˌpeɪtɪd>
arrears	ɑrrɪrz	<ərɪrz>
walk	wɔk	<wɔk>
mourn	mɔrn	<mɔrn>
viable	vieɪbli	<ˈvaɪəbəl>
chowder	ʧoʊdər	<ˈʧaʊdər>
inspiration	ɪnspaɪrɑtaɪn	<ˌɪnspərˈeɪʃən>
biweekly	baɪwiklaɪ	<baɪˈwikli>
fame	feɪm	<feɪm>
trapeze	trɑpiz	<trəˈpiz>
scramble	skræmbli	<ˈskræmbəl>
invite	ɪnvaɪt	<ˌɪnˈvaɪt>
twill	tɪl	<twɪl>
foiled	fɔɪld	<fɔɪld>
subtle	səbti	<ˈsətəl>
editorial	ɛdaɪtoʊraɪæl	<ˌɛdəˈtɔriəl>
zoological	zoʊoʊlɑgaɪkæl	<ˌzuˈlɑʤɪkəl>
diamond	daɪmɑnd	<ˈdaɪmənd>
infield	ɪnfild	<ˈɪnˌfild>
charade	ʧɑreɪd	<ʃəreɪd>
whiff	wɪf	<wɪf>
specialization	spikilaɪzɑtaɪn	<ˌspɛʃələˈzeɪʃən>
vise	vaɪz	<vaɪs>
iconography	aɪkoʊnɑgrɑfaɪ	<ˌaɪkəˈnɑgrəfi>
twice	twaɪs	<twaɪs>
popular	pɑpulɑr	<ˈpɑpjələr>
address	æddrɛs	<ˈæˌdrɛs>
extravagance	ɛkstræveɪgæns	<ɛkˈstrævəgəns>
goat	goʊt	<goʊt>
cords	kɔrdz	<kɔrdz>
notions	noʊtaɪnz	<ˈnoʊʃənz>
scarcely	skɑrslaɪ	<ˈskɛrsli>
impair	ɪmpɛr	<ˌɪmˈpɛr>
winning	wɪnnɪŋ	<ˈwɪnɪŋ>
promulgate	prɑməlgeɪt	<proʊˈməlgeɪt>
better	bɛttər	<ˈbɛtər>
myth	mɪθ	<mɪθ>
customary	kəstɑmɑrjaɪ	<ˈkəstəˌmɛri>
deeply	diplaɪ	<ˈdipli>
condensate	kɑndɛnseɪt	<ˈkɑndənˌseɪt>
weave	wiv	<wiv>
miscarriage	mɪskɑrreɪʤ	<mɪˈskɛrəʤ>
dueling	duɛlɪŋ	<ˈdulɪŋ>
mesmerizing	mɛsmɛrɪzɪŋ	<ˈmɛzmərˌaɪzɪŋ>
arctic	ɑrktɪk	<ˈɑrtɪk>
whine	waɪn	<waɪn>
indiscriminate	ɪndɪskrɪmaɪneɪt	<ˌɪndɪˈskrɪmənət>
you	ju	<ju>
