ing	<ɪŋ>
fleer	<flɪr>
heck	<hɛk>
till	<tɪl>
smith	<smɪθ>
smoke	<smoʊk>
fig	<fɪg>
zon	<zɔn>
stakes	<steɪks>
glow	<gloʊ>
hah	<hɑ>
merce	<mərs>
witch	<wɪʧ>
lance	<læns>
toll	<toʊl>
fake	<feɪk>
vist	<vɪst>
dial	<daɪəl>
sow	<soʊ>
wack	<wæk>
pitch	<pɪʧ>
birth	<bərθ>
sharp	<ʃɑrp>
say	<seɪ>
jazz	<ʤæz>
lege	<liʤ>
lide	<laɪd>
noun	<naʊn>
yeast	<jist>
parts	<pɑrts>
cia	<siaɪeɪ>
stake	<steɪk>
bes	<biz>
shelf	<ʃɛlf>
hough	<həf>
curt	<kərt>
since	<sɪns>
fixed	<fɪkst>
strength	<strɛŋθ>
poet	<poʊət>
hearse	<hərs>
goat	<goʊt>
ian	<ˈiən>
guise	<gaɪz>
foy	<fɔɪ>
bars	<bɑrz>
maj	<mæʤ>
clay	<kleɪ>
ord	<ɔrd>
thou	<ðaʊ>
hive	<haɪv>
stab	<stæb>
dai	<daɪ>
ruth	<ruθ>
glade	<gleɪd>
fling	<flɪŋ>
pooh	<pu>
guide	<gaɪd>
forte	<ˈfɔrteɪ>
rice	<raɪs>
bough	<baʊ>
sheath	<ʃiθ>
gift	<gɪft>
loin	<lɔɪn>
marge	<mɑrʤ>
chip	<ʧɪp>
mouse	<maʊs>
noise	<nɔɪz>
fritz	<frɪts>
weep	<wip>
coax	<koʊks>
grudge	<grəʤ>
swear	<swɛr>
arse	<ɑrs>
roy	<rɔɪ>
nosed	<noʊzd>
kane	<keɪn>
bleep	<blip>
metal	<ˈmɛtəl>
prick	<prɪk>
prowl	<praʊl>
hearts	<hɑrts>
bea	<bi>
tug	<təg>
musk	<məsk>
jab	<ʤæb>
flown	<floʊn>
flange	<flænʤ>
peach	<piʧ>
jolt	<ʤoʊlt>
shan	<ʃæn>
ought	<ɔt>
fell	<fɛl>
ghost	<goʊst>
done	<dən>
lend	<lɛnd>
hour	<aʊər>
mull	<məl>
once	<wəns>
yaw	<jɔ>
vy	<vaɪ>
phan	<fæn>
proud	<praʊd>
s	<ɛs>
kyl	<kaɪl>
lex	<lɛks>
dink	<dɪŋk>
ade	<eɪd>
zi	<zi>
blank	<blæŋk>
talc	<tælk>
splice	<splaɪs>
jock	<ʤɑk>
comp	<kɑmp>
swab	<swɑb>
wide	<waɪd>
plant	<plænt>
phase	<feɪz>
crane	<kreɪn>
bund	<bənd>
robe	<roʊb>
null	<nəl>
zing	<zɪŋ>
spear	<spɪr>
feat	<fit>
budge	<bəʤ>
trim	<trɪm>
couch	<kaʊʧ>
lamp	<læmp>
grow	<groʊ>
gland	<glænd>
bask	<bæsk>
move	<muv>
mize	<maɪz>
bone	<boʊn>
we	<wi>
raine	<reɪn>
morph	<mɔrf>
barred	<bɑrd>
zoom	<zum>
hemo	<ˈhimoʊ>
rove	<roʊv>
mass	<mæs>
joe	<ʤoʊ>
host	<hoʊst>
sot	<sɔt>
pipe	<paɪp>
wink	<wɪŋk>
bright	<braɪt>
leech	<liʧ>
thug	<θəg>
sock	<sɑk>
poke	<poʊk>
lope	<loʊp>
hoop	<hup>
rite	<raɪt>
spay	<speɪ>
lour	<laʊr>
fried	<frid>
flor	<flɔr>
prus	<prəs>
square	<skwɛr>
norm	<nɔrm>
know	<noʊ>
tip	<tɪp>
truck	<trək>
sheik	<ʃik>
peep	<pip>
burst	<bərst>
lone	<loʊn>
meg	<mɛg>
worth	<wərθ>
brit	<brɪt>
curse	<kərs>
quiche	<kiʃ>
flare	<flɛr>
risk	<rɪsk>
fine	<faɪn>
learn	<lərn>
eon	<iɑn>
crosse	<krɑs>
whites	<waɪts>
frau	<fraʊ>
trash	<træʃ>
chalk	<ʧɔk>
trick	<trɪk>
fry	<fraɪ>
eb	<ɛb>
borne	<bɔrn>
pew	<pju>
jet	<ʤɛt>
quipped	<kwɪpt>
shift	<ʃɪft>
steel	<stil>
plume	<plum>
ji	<ʤi>
phrase	<freɪz>
anal	<ˈeɪnəl>
swung	<swəŋ>
colo	<ˈkoʊloʊ>
rent	<rɛnt>
verge	<vərʤ>
lade	<leɪd>
fright	<fraɪt>
farce	<fɑrs>
flaw	<flɔ>
clothe	<kloʊð>
coz	<kɑz>
chart	<ʧɑrt>
whilst	<waɪlst>
ku	<ku>
mush	<məʃ>
dine	<daɪn>
weir	<wir>
bred	<brɛd>
moi	<mwɑ>
selle	<sɛl>
yew	<ju>
scribe	<skraɪb>
hung	<həŋ>
tex	<tɛks>
thaw	<θɔ>
tome	<toʊm>
states	<steɪts>
throes	<θroʊz>
owl	<aʊl>
pole	<poʊl>
squeeze	<skwiz>
smug	<sməg>
though	<ðoʊ>
flesh	<flɛʃ>
this	<ðɪs>
erb	<ərb>
sperm	<spərm>
huh	<hə>
slut	<slət>
rake	<reɪk>
jig	<ʤɪg>
spit	<spɪt>
voice	<vɔɪs>
pissed	<pɪst>
pier	<pɪr>
freak	<frik>
wall	<wɔl>
stocks	<stɑks>
plow	<plaʊ>
ay	<eɪ>
hose	<hoʊz>
tew	<tu>
sens	<sɛnz>
cloak	<kloʊk>
numb	<nəm>
crump	<krəmp>
stink	<stɪŋk>
dumps	<dəmps>
trunks	<trəŋks>
haze	<heɪz>
hull	<həl>
patched	<pæʧt>
felt	<fɛlt>
tomb	<tum>
scroll	<skroʊl>
pants	<pænts>
stacked	<stækt>
rears	<rɪrz>
bout	<baʊt>
peek	<pik>
stomp	<stɑmp>
words	<wərdz>
spell	<spɛl>
bleed	<blid>
fey	<feɪ>
kept	<kɛpt>
lisp	<lɪsp>
dish	<dɪʃ>
jug	<ʤəg>
wee	<wi>
nie	<ni>
dill	<dɪl>
hund	<hənd>
jay	<ʤeɪ>
fizz	<fɪz>
owe	<oʊ>
ruin	<ruɪn>
butte	<bjut>
ripe	<raɪp>
small	<smɔl>
pox	<pɑks>
noe	<noʊ>
wool	<wʊl>
noir	<nɔɪr>
tribe	<traɪb>
rouse	<raʊz>
scotch	<skɑʧ>
rand	<rænd>
served	<sərvd>
psych	<saɪk>
kraft	<kræft>
griz	<grɪz>
milled	<mɪld>
brute	<brut>
gloss	<glɔs>
ane	<æn>
caste	<kæst>
rise	<raɪz>
quit	<kwɪt>
soap	<soʊp>
nab	<næb>
grease	<gris>
all	<ɔl>
gems	<ʤɛmz>
smack	<smæk>
breadth	<brɛdθ>
stove	<stoʊv>
yu	<ju>
greed	<grid>
dove	<dəv>
sly	<slaɪ>
heat	<hit>
slab	<slæb>
squid	<skwɪd>
lush	<ləʃ>
opp	<ɑp>
flank	<flæŋk>
woe	<woʊ>
sift	<sɪft>
neat	<nit>
bounds	<baʊndz>
dock	<dɑk>
posh	<pɑʃ>
winged	<wɪŋd>
serge	<sərʤ>
brought	<brɔt>
coil	<kɔɪl>
petrol	<ˈpɛtroʊl>
caped	<keɪpt>
mound	<maʊnd>
shack	<ʃæk>
psalm	<sɑm>
lath	<læθ>
tuff	<təf>
should	<ʃʊd>
d	<di>
tights	<taɪts>
clump	<kləmp>
bent	<bɛnt>
steels	<stilz>
feld	<fɛld>
spar	<spɑr>
toe	<toʊ>
kohl	<koʊl>
froth	<frɔθ>
parse	<pɑrs>
maul	<mɔl>
ziff	<zɪf>
mess	<mɛs>
shi	<ʃi>
slow	<sloʊ>
whiz	<wɪz>
trey	<treɪ>
cale	<keɪl>
muck	<mək>
wy	<weɪ>
vern	<vərn>
leaf	<lif>
lair	<lɛr>
smut	<smət>
liar	<laɪər>
balls	<bɔlz>
beep	<bip>
nail	<neɪl>
flea	<fli>
bauch	<bɔʧ>
lunch	<lənʧ>
split	<splɪt>
mig	<mɪg>
coke	<koʊk>
worn	<wɔrn>
lei	<leɪ>
dac	<dæk>
oust	<aʊst>
slurp	<slərp>
gaze	<geɪz>
crown	<kraʊn>
haunt	<hɔnt>
loop	<lup>
bead	<bid>
sleeps	<slips>
jog	<ʤɑg>
brink	<brɪŋk>
lived	<lɪvd>
swift	<swɪft>
vorce	<vɔrs>
raw	<rɑ>
clef	<klɛf>
tiled	<taɪld>
melt	<mɛlt>
golf	<gɔlf>
meld	<mɛld>
cruise	<kruz>
dutch	<dəʧ>
tier	<tir>
spitz	<spɪts>
spoke	<spoʊk>
dag	<dæg>
patch	<pæʧ>
downs	<daʊnz>
teer	<tɪr>
cool	<kul>
grew	<gru>
bak	<bæk>
zelle	<zɛl>
raced	<reɪst>
lull	<ləl>
swig	<swɪg>
tide	<taɪd>
veer	<vɪr>
fuse	<fjuz>
via	<ˈviə>
roam	<roʊm>
ail	<eɪl>
soup	<sup>
cued	<kjud>
did	<dɪd>
plod	<plɑd>
leapt	<lɛpt>
rags	<rægz>
scab	<skæb>
tai	<taɪ>
dote	<doʊt>
birch	<bərʧ>
swept	<swɛpt>
hoarse	<hɔrs>
dime	<daɪm>
hub	<həb>
zig	<zɪg>
zag	<zæg>
boost	<bust>
sak	<sæk>
rouge	<ruʒ>
luse	<luz>
pleat	<plit>
splash	<splæʃ>
moss	<mɔs>
slide	<slaɪd>
flamed	<fleɪmd>
strang	<stræŋ>
ole	<ˌoʊˈleɪ>
sang	<sæŋ>
stew	<stu>
screw	<skru>
rums	<rəmz>
als	<ælz>
grip	<grɪp>
cede	<sid>
hew	<hju>
loos	<luz>
chin	<ʧɪn>
fuck	<fək>
twined	<twaɪnd>
crouch	<kraʊʧ>
bish	<bɪʃ>
worked	<wərkt>
screwed	<skrud>
scale	<skeɪl>
cong	<kɔŋ>
whiff	<wɪf>
wound	<wund>
fierce	<fɪrs>
maw	<mɔ>
fop	<ˈɛˈfoʊˈpi>
yup	<jəp>
filled	<fɪld>
spat	<spæt>
slid	<slɪd>
swish	<swɪʃ>
rhyme	<raɪm>
mode	<moʊd>
chic	<ʃik>
mont	<mɑnt>
spurred	<spərd>
waugh	<wɔ>
kent	<kɛnt>
mere	<mɪr>
clips	<klɪps>
lodge	<lɑʤ>
steal	<stil>
juke	<ʤuk>
fats	<fæts>
quark	<kwɑrk>
nil	<nɪl>
bott	<bɑt>
nix	<nɪks>
hue	<hju>
peas	<piz>
dome	<doʊm>
grasp	<græsp>
bail	<beɪl>
blurb	<blərb>
honk	<hɔŋk>
prim	<prɪm>
beau	<boʊ>
stray	<streɪ>
sip	<sɪp>
brunt	<brənt>
snot	<snɔt>
nude	<nud>
pru	<pru>
wept	<wɛpt>
sund	<sənd>
heit	<haɪt>
ode	<oʊd>
such	<səʧ>
stoop	<stup>
nose	<noʊz>
prompt	<prɑmpt>
cask	<kæsk>
join	<ʤɔɪn>
diced	<daɪst>
churn	<ʧərn>
laps	<læps>
luce	<lus>
notes	<noʊts>
verve	<vərv>
wit	<wɪt>
dear	<dɪr>
glare	<glɛr>
coat	<koʊt>
sore	<sɔr>
cowl	<kaʊl>
write	<raɪt>
midst	<mɪst>
cooked	<kʊkt>
joule	<ʤul>
cray	<kreɪ>
hart	<hɑrt>
spine	<spaɪn>
ip	<ˌaɪˌpi>
oft	<ɔft>
tie	<taɪ>
yon	<jɑn>
yah	<jɑ>
clash	<klæʃ>
slung	<sləŋ>
white	<waɪt>
gib	<gɪb>
nymph	<nɪmf>
kiss	<kɪs>
forced	<fɔrst>
dee	<di>
dense	<dɛns>
loose	<lus>
wold	<woʊld>
bush	<bʊʃ>
shaped	<ʃeɪpt>
fail	<feɪl>
cite	<saɪt>
twitch	<twɪʧ>
teeth	<tiθ>
shrunk	<ʃrəŋk>
mint	<mɪnt>
eats	<its>
rhine	<raɪn>
vibes	<vaɪbz>
cords	<kɔrdz>
perse	<pərs>
nth	<ɛnθ>
soy	<sɔɪ>
whim	<wɪm>
lene	<lin>
stork	<stɔrk>
fret	<frɛt>
mea	<mi>
stunt	<stənt>
twice	<twaɪs>
carp	<kɑrp>
cheek	<ʧik>
aim	<eɪm>
dyke	<daɪk>
typo	<ˈtaɪpoʊ>
cates	<keɪts>
bunt	<bənt>
hence	<hɛns>
sniff	<snɪf>
boil	<bɔɪl>
jail	<ʤeɪl>
fetch	<fɛʧ>
thumb	<θəm>
tye	<taɪ>
corps	<kɔrz>
pure	<pjʊr>
surge	<sərʤ>
coo	<ku>
scalp	<skælp>
criss	<krɪs>
coast	<koʊst>
nib	<nɪb>
dune	<dun>
smit	<smɪt>
praise	<preɪz>
cunt	<kənt>
slash	<slæʃ>
worm	<wərm>
these	<ðiz>
ost	<oʊst>
torque	<tɔrk>
bran	<bræn>
lane	<leɪn>
locks	<lɑks>
sheer	<ʃɪr>
mouth	<maʊθ>
praised	<preɪzd>
tad	<tæd>
sledge	<slɛʤ>
stilled	<stɪld>
hoax	<hoʊks>
sing	<sɪŋ>
bey	<beɪ>
ville	<vɪl>
stool	<stul>
dart	<dɑrt>
grit	<grɪt>
trace	<treɪs>
mask	<mæsk>
berth	<bərθ>
niche	<nɪʧ>
darn	<dɑrn>
slept	<slɛpt>
cyst	<sɪst>
nast	<næst>
stack	<stæk>
starch	<stɑrʧ>
tyre	<taɪər>
riel	<ril>
jim	<ʤɪm>
elk	<ɛlk>
khan	<kɑn>
typed	<taɪpt>
streak	<strik>
young	<jəŋ>
jake	<ʤeɪk>
knoll	<noʊl>
byte	<baɪt>
trout	<traʊt>
evan	<ˈɛvən>
laird	<lɛrd>
paste	<peɪst>
wage	<weɪʤ>
whips	<wɪps>
bub	<bəb>
mutt	<mət>
sieve	<sɪv>
disc	<dɪsk>
prong	<prɔŋ>
dearth	<dərθ>
finance	<ˈfaɪˌnæns>
chain	<ʧeɪn>
stant	<stænt>
swan	<swɔn>
clip	<klɪp>
crossed	<krɔst>
cart	<kɑrt>
duch	<dəʧ>
burl	<bərl>
cass	<kæs>
wares	<wɛrz>
grout	<graʊt>
thump	<θəmp>
choke	<ʧoʊk>
shin	<ʃɪn>
skirt	<skərt>
ye	<jɛ>
cork	<kɔrk>
sleek	<slik>
lots	<lɑts>
myrrh	<mər>
yes	<jɛs>
brig	<brɪg>
dier	<diər>
brawl	<brɔl>
brac	<bræk>
ann	<æn>
thrown	<θroʊn>
chill	<ʧɪl>
blame	<bleɪm>
shroud	<ʃraʊd>
brut	<brut>
pest	<pɛst>
lotte	<lɑt>
sprock	<sprɑk>
hecht	<hɛkt>
own	<oʊn>
pluck	<plək>
crowned	<kraʊnd>
blade	<bleɪd>
stout	<staʊt>
que	<kju>
beard	<bɪrd>
toms	<tɑmz>
dash	<dæʃ>
jai	<ʤaɪ>
whose	<huz>
blaze	<bleɪz>
hike	<haɪk>
brand	<brænd>
yap	<jæp>
tang	<tɑŋ>
fog	<fɔg>
dain	<deɪn>
sunk	<səŋk>
gnu	<nu>
sucks	<səks>
horst	<hɔrst>
spawn	<spɔn>
lord	<lɔrd>
mop	<mɑp>
dies	<daɪz>
tess	<tɛs>
moist	<mɔɪst>
tigue	<tig>
super	<ˈsupər>
four	<fɔr>
sai	<ˈɛˈseɪˈaɪ>
hark	<hɑrk>
drown	<draʊn>
lass	<læs>
belch	<bɛlʧ>
times	<taɪmz>
moved	<muvd>
binge	<bɪnʤ>
gauze	<gɔz>
matte	<mæt>
brill	<brɪl>
ritz	<rɪts>
lowe	<loʊ>
raked	<reɪkt>
troll	<troʊl>
north	<nɔrθ>
quip	<kwɪp>
sphere	<sfɪr>
eaves	<ivz>
blocked	<blɑkt>
sworn	<swɔrn>
bong	<bɑŋ>
wane	<weɪn>
salve	<sɑv>
drudge	<drəʤ>
best	<bɛst>
bride	<braɪd>
groom	<grum>
grained	<greɪnd>
bard	<bɑrd>
shears	<ʃirz>
shape	<ʃeɪp>
tired	<taɪərd>
throng	<θrɔŋ>
blah	<blɑ>
beige	<beɪʒ>
mead	<mid>
dae	<deɪ>
mance	<mæns>
clique	<klik>
dreamt	<drɛmt>
bos	<bɑs>
pops	<pɑps>
roc	<rɑk>
tue	<tu>
piss	<pɪs>
trench	<trɛnʧ>
fluent	<fluənt>
tod	<tɑd>
sash	<sæʃ>
rude	<rud>
rog	<rɑg>
howl	<haʊl>
sain	<seɪn>
ike	<aɪk>
cad	<kæd>
loge	<loʊʤ>
poss	<pɔs>
bike	<baɪk>
skinned	<skɪnd>
grump	<grəmp>
stopped	<stɑpt>
shire	<ʃaɪr>
stung	<stəŋ>
broc	<brɑk>
cuffs	<kəfs>
slop	<slɑp>
sire	<saɪər>
knick	<nɪk>
mers	<mərz>
phage	<feɪʤ>
pense	<pɛns>
noon	<nun>
ary	<ˈɛri>
shew	<ʃu>
brunch	<brənʧ>
lick	<lɪk>
chick	<ʧɪk>
spice	<spaɪs>
leath	<liθ>
queer	<kwɪr>
tape	<teɪp>
tosh	<tɑʃ>
poise	<pɔɪz>
played	<pleɪd>
few	<fju>
sprang	<spræŋ>
sway	<sweɪ>
toad	<toʊd>
quoth	<kwoʊθ>
batch	<bæʧ>
gall	<gɔl>
squash	<skwɑʃ>
clown	<klaʊn>
damn	<dæm>
pam	<pæm>
snore	<snɔr>
wheels	<wilz>
crud	<krəd>
strained	<streɪnd>
named	<neɪmd>
clutch	<kləʧ>
speak	<spik>
flask	<flæsk>
flour	<flaʊər>
thorpe	<θɔrp>
oil	<ɔɪl>
rau	<raʊ>
sweat	<swɛt>
itch	<ɪʧ>
zarre	<ˈzɑri>
john	<ʤɑn>
starred	<stɑrd>
shep	<ʃɛp>
cussed	<kəst>
whoop	<wup>
tweed	<twid>
moll	<mɑl>
shek	<ʃɛk>
rear	<rɪr>
lew	<lu>
trump	<trəmp>
spool	<spul>
vang	<væŋ>
hob	<hɑb>
lynx	<lɪŋks>
boom	<bum>
ang	<æŋ>
goes	<goʊz>
prince	<prɪns>
bans	<bænz>
cac	<ˈsiˈeɪˈsi>
scream	<skrim>
clipped	<klɪpt>
sprite	<spraɪt>
cans	<kænz>
lapsed	<læpst>
cose	<koʊz>
lai	<laɪ>
gash	<gæʃ>
pulse	<pəls>
specs	<spɛks>
rave	<reɪv>
scheme	<skim>
keck	<kɛk>
tarp	<tɑrp>
bourne	<bɔrn>
bulge	<bəlʤ>
shake	<ʃeɪk>
tramp	<træmp>
puff	<pəf>
soon	<sun>
stain	<steɪn>
dall	<dɔl>
grill	<grɪl>
graft	<græft>
scant	<skænt>
drag	<dræg>
tongues	<təŋz>
gourd	<gɔrd>
went	<wɛnt>
cub	<kəb>
punt	<pənt>
sleeve	<sliv>
laud	<lɔd>
elm	<ɛlm>
spook	<spuk>
strate	<streɪt>
tote	<toʊt>
dank	<dæŋk>
banks	<bæŋks>
dusk	<dəsk>
morgue	<mɔrg>
swoon	<swun>
nett	<nɛt>
eel	<il>
lists	<lɪsts>
sank	<sæŋk>
known	<noʊn>
jesse	<ˈʤɛsi>
ugh	<əg>
rim	<rɪm>
browse	<braʊz>
fob	<fɔb>
bunk	<bəŋk>
steen	<stin>
jeans	<ʤinz>
gauche	<goʊʃ>
fled	<flɛd>
fro	<froʊ>
rare	<rɛr>
fuss	<fəs>
yacht	<jɑt>
snout	<snaʊt>
clerk	<klərk>
steak	<steɪk>
vouch	<vaʊʧ>
kash	<kæʃ>
blamed	<bleɪmd>
tamed	<teɪmd>
oi	<ɔɪ>
hut	<hət>
kling	<klɪŋ>
clan	<klæn>
snort	<snɔrt>
raged	<reɪʤd>
blush	<bləʃ>
ltd	<ˈɛlˈtiˈdi>
darned	<dɑrnd>
maize	<meɪz>
pry	<praɪ>
trude	<trud>
bloat	<bloʊt>
firth	<fərθ>
slope	<sloʊp>
swank	<swæŋk>
else	<ɛls>
plum	<pləm>
harp	<hɑrp>
elect	<ɪˈlɛkt>
lurk	<lərk>
vale	<veɪl>
psi	<saɪ>
stokes	<stoʊks>
fessed	<fɛst>
concur	<kənˈkər>
glad	<glæd>
raun	<rɔn>
bleach	<bliʧ>
theme	<θim>
cage	<keɪʤ>
limp	<lɪmp>
dorm	<dɔrm>
huge	<juʤ>
chunk	<ʧəŋk>
reif	<rif>
tout	<taʊt>
screech	<skriʧ>
chaste	<ʧeɪst>
dye	<daɪ>
tele	<ˈtɛlə>
dane	<deɪn>
shrewd	<ʃrud>
skate	<skeɪt>
chute	<ʃut>
wretch	<rɛʧ>
steam	<stim>
pave	<peɪv>
wore	<wɔr>
sop	<sɑp>
rights	<raɪts>
crumbs	<krəmz>
weiss	<waɪs>
purge	<pərʤ>
slough	<sləf>
chasm	<ˈkæzəm>
lounge	<laʊnʤ>
arcs	<ɑrks>
hunks	<həŋks>
dude	<dud>
flim	<flɪm>
wield	<wild>
thinks	<θɪŋks>
maid	<meɪd>
chokes	<ʧoʊks>
chump	<ʧəmp>
buss	<bəs>
taste	<teɪst>
crap	<kræp>
pie	<paɪ>
gilt	<gɪlt>
pierce	<pɪrs>
pause	<pɔz>
swamp	<swɔmp>
came	<keɪm>
hare	<hɛr>
wives	<waɪvz>
welsh	<wɛlʧ>
r	<ɑr>
add	<æd>
caul	<kɔl>
rood	<rud>
yea	<jeɪ>
sigh	<saɪ>
two	<tu>
rug	<rəg>
stress	<strɛs>
tithe	<taɪð>
bode	<boʊd>
bags	<bægz>
smudge	<sməʤ>
zest	<zɛst>
meal	<mil>
barge	<bɑrʤ>
blur	<blər>
ties	<taɪz>
tongs	<tɔŋz>
six	<sɪks>
jan	<ʤæn>
shun	<ʃən>
toast	<toʊst>
sale	<seɪl>
barn	<bɑrn>
cull	<kəl>
temp	<tɛmp>
zil	<zɪl>
clad	<klæd>
ponce	<ˈpɑnseɪ>
gauge	<geɪʤ>
sere	<sɪr>
mall	<mɔl>
sheen	<ʃin>
reins	<reɪnz>
crea	<kri>
lame	<leɪm>
quint	<kwɪnt>
thrift	<θrɪft>
sox	<sɑks>
lsd	<ˌɛˌlɛsˈdi>
funk	<fəŋk>
eau	<oʊ>
haw	<hɔ>
mould	<moʊld>
hiss	<hɪs>
haar	<hɑr>
trade	<treɪd>
brook	<brʊk>
trance	<træns>
peg	<pɛg>
twain	<tweɪn>
limb	<lɪm>
swing	<swɪŋ>
tooth	<tuθ>
squire	<skwaɪr>
saur	<sɔr>
flew	<flu>
snoop	<snup>
skunk	<skəŋk>
toed	<toʊd>
fete	<feɪt>
wop	<wɑp>
dell	<dɛl>
shame	<ʃeɪm>
creed	<krid>
dru	<dru>
pings	<pɪŋz>
ita	<ˈaɪˈtiˈeɪ>
dupe	<dup>
seat	<sit>
nigh	<naɪ>
ake	<eɪk>
muth	<muθ>
silt	<sɪlt>
inn	<ɪn>
mobs	<mɑbz>
shim	<ʃɪm>
squat	<skwɑt>
their	<ðɛr>
shod	<ʃɑd>
wen	<wɛn>
gripe	<graɪp>
gone	<gɔn>
brin	<brɪn>
pons	<pɑnz>
quartz	<kwɔrts>
dashed	<dæʃt>
snake	<sneɪk>
does	<dɪz>
riz	<rɪz>
putt	<pət>
maes	<meɪz>
salt	<sɔlt>
cheap	<ʧip>
soar	<sɔr>
glen	<glɛn>
chance	<ʧæns>
yan	<jæn>
slice	<slaɪs>
kerb	<kərb>
geese	<gis>
mow	<moʊ>
chau	<ʃoʊ>
hoard	<hɔrd>
yearn	<jərn>
loan	<loʊn>
strom	<strɑm>
carle	<ˈkɑrəl>
deed	<did>
nights	<naɪts>
slag	<slæg>
thorn	<θɔrn>
you	<ju>
grief	<grif>
gave	<geɪv>
spas	<spɑz>
wrapped	<ræpt>
oar	<ɔr>
snatch	<snæʧ>
looped	<lupt>
pence	<pɛns>
lives	<lɪvz>
damned	<dæmd>
ich	<ɪʧ>
quail	<kweɪl>
hurl	<hərl>
veal	<vil>
heist	<haɪst>
sedge	<sɛʤ>
shout	<ʃaʊt>
mile	<maɪl>
fay	<feɪ>
pact	<pækt>
could	<kʊd>
least	<list>
phew	<fju>
mew	<mju>
dong	<dɔŋg>
knack	<næk>
clause	<klɔz>
eyre	<ɛr>
trumps	<trəmps>
brides	<braɪdz>
cobb	<kɑb>
pare	<pɛr>
spends	<spɛnz>
rudd	<rəd>
cube	<kjub>
cove	<koʊv>
drawn	<drɔn>
vane	<veɪn>
creeps	<krips>
thing	<θɪŋ>
welch	<wɛlʧ>
mumps	<məmps>
loath	<loʊθ>
queen	<kwin>
neth	<nɛθ>
doss	<dɔs>
sold	<soʊld>
vass	<væs>
brag	<bræg>
quiz	<kwɪz>
hoy	<hɔɪ>
lyre	<laɪr>
jell	<ʤɛl>
vee	<vi>
why	<waɪ>
fram	<fræm>
pane	<peɪn>
ape	<eɪp>
dore	<dɔr>
mach	<mɑk>
lark	<lɑrk>
nye	<naɪ>
garth	<gɑrθ>
mib	<mɪb>
sport	<spɔrt>
breeze	<briz>
suede	<sweɪd>
groin	<grɔɪn>
slaw	<slɔ>
shrine	<ʃraɪn>
coop	<kup>
spree	<spri>
reef	<rif>
lough	<laʊ>
sob	<sɑb>
leak	<lik>
mish	<mɪʃ>
mair	<mɛr>
quart	<kwɔrt>
chok	<ʧɑk>
corse	<kɔrs>
atm	<ˈeɪˌtiˈɛm>
fields	<fildz>
gape	<geɪp>
welt	<wɛlt>
drops	<drɑps>
cons	<kɑnz>
grum	<grəm>
doubt	<daʊt>
dawn	<dɔn>
pall	<pɔl>
jib	<ʤɪb>
dread	<drɛd>
cried	<kraɪd>
luke	<luk>
flats	<flæts>
hulk	<həlk>
mane	<meɪn>
yawn	<jɔn>
wade	<weɪd>
slav	<slɑv>
meteor	<ˈmitiər>
drain	<dreɪn>
loch	<lɑk>
ohm	<oʊm>
rink	<rɪŋk>
tint	<tɪnt>
pais	<peɪz>
coll	<kɑl>
hud	<həd>
rash	<ræʃ>
stoke	<stoʊk>
etch	<ɛʧ>
burned	<bərnd>
blew	<blu>
lais	<leɪz>
spurt	<spərt>
beef	<bif>
none	<nən>
nice	<nis>
spoof	<spuf>
nun	<nən>
winch	<wɪnʧ>
learnt	<lərnt>
gail	<geɪl>
pod	<pɑd>
eng	<ɛŋ>
stench	<stɛnʧ>
pross	<prɔs>
swore	<swɔr>
oars	<ɔrz>
ream	<rim>
lost	<lɔst>
pond	<pɑnd>
reeve	<riv>
doth	<dɔθ>
stole	<stoʊl>
steppe	<stɛp>
plight	<plaɪt>
hove	<hoʊv>
clamp	<klæmp>
stairs	<stɛrz>
duck	<dək>
scot	<skɑt>
stood	<stʊd>
angst	<ɑŋkst>
slick	<slɪk>
wits	<wɪts>
paid	<peɪd>
airs	<ɛrz>
wince	<wɪns>
bret	<brɛt>
passed	<pæst>
lynch	<lɪnʧ>
mosque	<mɔsk>
haugh	<hɔ>
framed	<freɪmd>
aunt	<ɔnt>
wo	<woʊ>
darts	<dɑrts>
pope	<poʊp>
booze	<buz>
paque	<pæk>
shed	<ʃɛd>
jacks	<ʤæks>
aisle	<aɪəl>
cease	<sis>
mulch	<məlʧ>
pawn	<pɔn>
corp	<ˈkɔrpərˈeɪʃən>
marked	<mɑrkt>
stored	<stɔrd>
butt	<bət>
dost	<dɑst>
daft	<dæft>
odds	<ɑdz>
crib	<krɪb>
caps	<kæps>
tongue	<təŋ>
sink	<sɪŋk>
sein	<saɪn>
male	<meɪl>
gleam	<glim>
fraught	<frɔt>
breth	<brɛθ>
rusk	<rəsk>
swirl	<swərl>
kat	<kæt>
smog	<smɑg>
axe	<æks>
lipped	<lɪpt>
fest	<fɛst>
duff	<dəf>
heel	<hil>
wreak	<rik>
rase	<reɪz>
tails	<teɪlz>
spade	<speɪd>
thigh	<θaɪ>
zinc	<zɪŋk>
jive	<ʤaɪv>
hoot	<hut>
rind	<raɪnd>
fate	<feɪt>
vince	<vɪns>
matched	<mæʧt>
huck	<hək>
clift	<klɪft>
sprout	<spraʊt>
bored	<bɔrd>
stripe	<straɪp>
tuned	<tund>
froze	<froʊz>
realm	<rɛlm>
swam	<swæm>
spans	<spænz>
glue	<glu>
stitch	<stɪʧ>
tux	<təks>
reign	<reɪn>
tongued	<təŋd>
brant	<brænt>
same	<seɪm>
